family;genus;epithet;commonname;life_forms;endemism;RED_List_2022;MMA_2022;extinction_risk_category_2013;fruit_fleshy_dry;fruit_dehisces;winged_nonwinged;fruit_form;fruit_type;dispersal_syndrome;seed_form;seed_handling;storage_behaviour;D.O.I.
Anacardiaceae;Astronium;urundeuva;aroeira;Tree;NE;DD;NA;NE;fleshy;indehiscent;winged;subglobose;pseudosamara;Anemochory;reniform;ND;ORT;https://doi.org/10.1007/s40415-021-00732-w,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://www.researchgate.net/publication/338717644_Guia_de_Propagulos_e_Plantulas_da_Caatinga,https://doi.org/10.1002/tax.12640,https://ser-sid.org/
Anacardiaceae;Schinopsis;brasiliensis;bara£na;Tree;NE;LC;NA;LC;dry;indehiscent;winged;oblong;samara;Anemochory;oblong,reniform;PD - removal partial or total of the endocarp;ORT;https://doi.org/10.1007/978-3-642-14397-7_3,https://doi.org/10.13102/scb8091,https://www.jstor.org/stable/3068648,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640,https://ser-sid.org/
Anacardiaceae;Spondias;tuberosa;umb£;Shrub,tree;ED;LC;NA;NE;fleshy;indehiscent;non-winged;subglobose,obovate;drupe;Zoochory;obliquely obovoid but laterally compressed and very slightly carinate;PD - removal partial or total of the endocarp;ORT;https://doi.org/10.1007/978-3-642-14397-7_3,https://doi.org/10.3897/phytokeys.55.8489,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640,https://ser-sid.org/
Apocynaceae;Aspidosperma;pyrifolium;pereiro;Tree;NE;LC;NA;NE;dry;dehiscent;non-winged;pyriform,suborbicular;follicle;Anemochory;ovoid;ND;ORT_NEMA;https://doi.org/10.1590/1676-0611-BN-2015-0080,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://www.researchgate.net/publication/338717644_Guia_de_Propagulos_e_Plantulas_da_Caatinga,https://doi.org/10.1002/tax.12640
Bignoniaceae;Handroanthus;impetiginosus;ipˆ-roxo;Tree;NE;NT;NA;NT;dry;dehiscent;non-winged;cylindrical;capsule;Anemochory;flattened (winged);ND;ORT;https://www.jstor.org/stable/4393739,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640,https://ser-sid.org/
Burseraceae;Commiphora;leptophloeos;imburana-de-cambÆo;Shrub,tree;NE;LC;NA;NE;fleshy;dehiscent;non-winged;subglobose;drupe;Zoochory;elliptical acuminate;NA;ORT;https://doi:10.1017/S0266467401001201,https://doi.org/10.1007/s40415-021-00765-1,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640,https://ser-sid.org/
Capparaceae;Neocalyptrocalyx;longifolium;ic¢;Shrub;ED;NE;NA;NE;fleshy;indehiscent;non-winged;oblong;amphisarca;Zoochory;reniform;NA;NA;https://doi.org/10.1590/2175-7860201465307,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640
Chrysobalanaceae;Microdesmia;rigida;oiticica;Tree;ED;LC;NA;LC;fleshy;dehiscent;non-winged;elliptic;drupe;Zoochory;oblong;ND;NA;https://doi.org/10.1590/2175-7860202071105,https://doi.org/10.18378/rvads.v10i2.2965,https://doi.org/10.34117/bjdv6n11-589,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640
Euphorbiaceae;Cnidoscolus;quercifolius;faveleira;Shrub,tree;ED;LC;NA;LC;dry;dehiscent;non-winged;subglobose;capsule;Autochory;subglobose (carunculate seed);PY - mechanically scarified;ORT_NEMA;https://doi.org/10.1016/j.jaridenv.2010.05.009,https://www.researchgate.net/publication/338717644_Guia_de_Propagulos_e_Plantulas_da_Caatinga,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640
Euphorbiaceae;Croton;blanchetianus;marmeleiro;Shrub,tree;ED;LC;NA;LC;dry;dehiscent;non-winged;globose;schizocarp;Autochory;ellipsoid;PY - mechanically scarified;ORT_NEMA;https://doi.org/10.1016/j.jaridenv.2010.05.009,https://www.researchgate.net/publication/338717644_Guia_de_Propagulos_e_Plantulas_da_Caatinga,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640
Euphorbiaceae;Jatropha;ribifolia;pinhÆozinho,pinhÆo-pequeno,pinhÆo-miudo,piÆo;Shrub,subshrubs;ED;NE;NA;NE;dry;dehiscent;non-winged;globose;capsule;Autochory;ovoid (carunculate seed);PY - mechanically scarified;NA;https://doi:10.1017/S0266467401001201,https://doi.org/10.1590/S1516-05722012000400002,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640
Euphorbiaceae;Jatropha;mollissima;pinhÆo,pinhÆo-vermelho,pinhÆo-roxo;Shrub,tree;NE;NE;NA;NE;dry;dehiscent;non-winged;globose;capsule;Autochory;subglobose (carunculate seed);PY - mechanically scarified;ORT_NEMA;https://doi:10.1017/S0266467401001201,https://www.researchgate.net/publication/338717644_Guia_de_Propagulos_e_Plantulas_da_Caatinga,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640
Euphorbiaceae;Manihot;carthagenensis;mani‡oba;Shrub,tree;NE;LC;NA;NE;dry;dehiscent;non-winged;ovoid,orbicular;capsule;Autochory;oblong;PY - mechanically scarified;ORT;https://doi:10.1017/S0266467401001201,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640
Fabaceae;Amburana;cearensis;amburana-de-cheiro,cumaru,umburana-de-cheiro;Tree;NE;EN;NA;NT;dry;dehiscent;winged;oblong;legume;Anemochory;ovoid;ND;ORT_NEMA;https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://www.researchgate.net/publication/338717644_Guia_de_Propagulos_e_Plantulas_da_Caatinga,https://doi.org/10.1002/tax.12640
Fabaceae;Anadenanthera;colubrina;angico;Shrub,tree;NE;LC;NA;NE;dry;dehiscent;non-winged;oblong;follicle;Autochory;orbicular (winged);ND;ORT;https://doi:10.1017/S0266467401001201,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi:10.1017/S0266467401001201,https://www.researchgate.net/publication/338717644_Guia_de_Propagulos_e_Plantulas_da_Caatinga,https://doi.org/10.1002/tax.12640,https://ser-sid.org/
Fabaceae;Bauhinia;cheilantha;pata-de-vaca,moror¢;Shrub,tree;NE;LC;NA;LC;dry;dehiscent;non-winged;compressed-flat;legume;Autochory;obovate;PY - mechanically scarified;ORT_NEMA;https://doi.org/10.1590/2175-7860201970017,https://www.jstor.org/stable/23497144,https://www.researchgate.net/publication/338717644_Guia_de_Propagulos_e_Plantulas_da_Caatinga,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640
Fabaceae;Cenostigma;pyramidale;catingueira;Shrub,tree;ED;LC;NA;NE;dry;dehiscent;non-winged;compressed-flat,oblong;legume;Autochory;ellipsoid;ND;ORT;https://doi.org/10.5902/1980509822738,https://doi.org/10.1590/2175-7860201970017,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://www.researchgate.net/publication/338717644_Guia_de_Propagulos_e_Plantulas_da_Caatinga,https://doi.org/10.1002/tax.12640,https://ser-sid.org/
Fabaceae;Enterolobium;contortisiliquum;orelha-de-nego,tamboril,timba£ba;Tree;NE;LC;NA;NE;dry;indehiscent;non-winged;rounded;baccoid;Zoochory;elliptic;PY - mechanically scarified;ORT_NEMA;https://doi.org/10.1590/S2236-89062012000300002,https://doi.org/10.1590/S0101-31222011000200004,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640
Fabaceae;Libidibia;ferrea;pau-ferro,juc ;Tree;NE;LC;NA;NE;dry;indehiscent;non-winged;oblong-elliptic;legume;Autochory;elliptic,oblong;PY - mechanically scarified;ORT_NEMA;https://doi:10.1017/S0266467401001201,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://www.researchgate.net/publication/338717644_Guia_de_Propagulos_e_Plantulas_da_Caatinga,https://doi.org/10.1002/tax.12640
Fabaceae;Luetzelburgia;auriculata;moc¢,pau-moc¢;Tree;ED;LC;NA;LC;dry;indehiscent;winged;oblong,oval;samara;Anemochory;obovate,subreniform;ND;ORT;https://doi.org/10.1590/S2175-78602014000200012,https://www.researchgate.net/publication/338717644_Guia_de_Propagulos_e_Plantulas_da_Caatinga,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640,https://ser-sid.org/
Fabaceae;Mimosa;tenuiflora;jurema-preta;Shrub,tree,subshrubs;NE;LC;NA;NE;dry;indehiscent;non-winged;oblong;craspedium;Autochory;orbicular;PY - mechanically scarified;ORT_NEMA;https://doi.org/10.1590/2175-7860201566107,https://www.researchgate.net/publication/338717644_Guia_de_Propagulos_e_Plantulas_da_Caatinga,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640
Fabaceae;Parapiptadenia;zehntneri;guarambira,angico-monjoba,angico-monjolo;Shrub,tree;ED;NT;NA;NE;dry;dehiscent;non-winged;straight;legume;Anemochory;suborbicular (winged);ND;ORT;https://doi.org/10.13102/scb1133,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640,https://ser-sid.org/
Fabaceae;Piptadenia;retusa;jurema-branca;Shrub,tree;NE;LC;NA;NE;dry;dehiscent;non-winged;compressed-flat;legume;Autochory;ovoid;PY - mechanically scarified;ORT;https://doi.org/10.1016/j.jaridenv.2010.05.009,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://www.researchgate.net/publication/338717644_Guia_de_Propagulos_e_Plantulas_da_Caatinga,https://doi.org/10.1002/tax.12640,https://ser-sid.org/
Fabaceae;Pityrocarpa;moniliformis;angico-de-bezerro,canzenzo,quipembe,casqueiro;Shrub,tree;ED;LC;NA;NE;dry;dehiscent;non-winged;moniliform;follicle;Autochory;lenticular;PY - mechanically scarified;ORT;https://doi.org/10.2307/4108864,https://www.jstor.org/stable/23500773,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://www.researchgate.net/publication/338717644_Guia_de_Propagulos_e_Plantulas_da_Caatinga,https://doi.org/10.1002/tax.12640,https://ser-sid.org/
Fabaceae;Senna;trachypus;canaf¡stula,quebra-machado,quebra-faca;Shrub,tree;ED;LC;NA;NE;dry;dehiscent;winged;oblong;legume;Anemochory;linear-oblong;PY - mechanically scarified;ORT;https://doi.org/10.1590/S2175-78602014000200012,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://www.researchgate.net/publication/338717644_Guia_de_Propagulos_e_Plantulas_da_Caatinga,https://doi.org/10.1002/tax.12640,https://ser-sid.org/
Fabaceae;Senna;spectabilis;canaf¡stula,quebra-machado,quebra-faca;Tree;NE;LC;NA;NE;dry;dehiscent;non-winged;cylindrical;legume;Autochory;ovoid;PY - mechanically scarified;ORT;https://doi.org/10.5935/1984-2295.20160078,https://doi.org/10.1590/S0102-33062005000100002,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640,https://ser-sid.org/
Malvaceae;Pseudobombax;marginatum;Imbiratanha;Tree;NE;LC;NA;LC;dry;dehiscent;non-winged;elliptic,obovate;capsule;Anemochory;rounded (embedded in kapok);ND;ORT_NEMA;https://doi.org/10.1590/S0102-33062002000200001,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://www.researchgate.net/publication/338717644_Guia_de_Propagulos_e_Plantulas_da_Caatinga,https://doi.org/10.1002/tax.12640
Rhamnaceae;Sarcomphalus;joazeiro;juazeiro;Tree;NE;NE;NA;NE;fleshy;indehiscent;non-winged;globose;drupe;Zoochory;elliptic, flattened;PD - removal partial or total of the endocarp;ORT;https://doi.org/10.12705/651.4,https://doi.org/10.1590/S1516-05722010000200010,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://www.researchgate.net/publication/338717644_Guia_de_Propagulos_e_Plantulas_da_Caatinga,https://doi.org/10.1002/tax.12640,https://ser-sid.org/
Sapindaceae;Sapindus;saponaria;saboneteira;Tree;NE;LC;NA;NE;dry;indehiscent;non-winged;subglobose;schizocarp;Zoochory;obovate,subglobose;PY - mechanically scarified;ORT_NEMA;https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://www.researchgate.net/publication/338717644_Guia_de_Propagulos_e_Plantulas_da_Caatinga,https://doi.org/10.1002/tax.12640
Sapotaceae;Sideroxylon;obtusifolium;quixabeira;Shrub,tree;NE;LC;NA;LC;fleshy;indehiscent;non-winged;ellipsoid,globose,obovate;drupe;Zoochory;ellipsoid,globose;PY - mechanically scarified;ORT;https://doi.org/10.13140/RG.2.2.18495.20647,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640,https://doi.org/10.1590/S1518-70122011000200008
Anacardiaceae;Astronium;graveolens;aroeirÆo,gon‡alo-alves,guarit ;Tree;NE;LC;NA;LC;fleshy;indehiscent;winged;fusiform;pseudosamara;Anemochory;fusiform;ND;ORT;https://doi.org/10.1007/s40415-021-00732-w,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640,https://ser-sid.org/
